data,precipitacao_mm,nivel_rio_m
2023-01-01,5,2.1
2023-01-02,8,2.2
2023-01-03,15,2.4
2023-01-04,30,2.8
2023-01-05,45,3.5
2023-01-06,60,4.2
2023-01-07,25,4.0
2023-01-08,10,3.8
2023-01-09,5,3.6
2023-01-10,2,3.4
2023-01-11,80,5.0
2023-01-12,120,6.5
2023-01-13,50,6.2
2023-01-14,20,5.8
2023-01-15,10,5.5
2023-01-16,5,5.2
2023-01-17,2,4.9
2023-01-18,1,4.7
2023-01-19,0,4.5
2023-01-20,40,4.8
2023-01-21,55,5.2
2023-01-22,70,5.8
2023-01-23,90,6.8
2023-01-24,150,8.0
2023-01-25,80,7.5
2023-01-26,40,7.0
2023-01-27,20,6.5
2023-01-28,10,6.0
2023-01-29,5,5.5
2023-01-30,5,5.0
