data,precipitacao_mm,nivel_rio_m
2025-12-01,0.0,2.15
2025-12-02,6.2,2.14
2025-12-03,6.5,2.15
2025-12-04,1.7,2.27
2025-12-05,0.0,2.38
2025-12-06,0.0,2.38
2025-12-07,0.2,2.38
2025-12-08,3.4,2.38
2025-12-09,12.0,2.38
2025-12-10,6.3,2.36
2025-12-11,0.0,2.3
2025-12-12,0.1,2.25
2025-12-13,28.8,2.27
2025-12-14,10.7,2.28
2025-12-15,1.1,2.27
2025-12-16,5.9,2.13
2025-12-17,30.1,2.16
2025-12-18,0.2,2.13
2025-12-19,0.7,2.13
2025-12-20,0.2,2.14
2025-12-21,0.0,2.14
2025-12-22,0.0,2.14
2025-12-23,0.0,2.14
2025-12-24,0.1,2.14
2025-12-25,0.0,2.14
2025-12-26,0.7,2.14
2025-12-27,0.6,2.14
2025-12-28,0.1,2.14
2025-12-29,9.3,2.14
2025-12-30,8.9,2.14
2025-12-31,2.6,2.14
2026-01-01,1.1,2.14
2026-01-02,23.6,2.13
2026-01-03,6.4,2.18
2026-01-04,3.1,2.27
2026-01-05,0.6,2.27
2026-01-06,0.0,2.27
2026-01-07,1.7,2.27
2026-01-08,14.5,2.27
2026-01-09,0.0,2.28
2026-01-10,0.0,2.28
2026-01-11,0.0,2.27
2026-01-12,0.0,2.27
2026-01-13,16.1,2.27
2026-01-14,16.0,2.28
2026-01-15,11.7,2.28
2026-01-16,17.6,2.28
2026-01-17,5.3,2.3
2026-01-18,9.8,2.28
2026-01-19,36.8,2.27
2026-01-20,8.3,2.27
2026-01-21,2.0,2.27
2026-01-22,25.4,2.27
2026-01-23,10.3,2.27
2026-01-24,5.0,2.18
2026-01-25,17.6,2.13
2026-01-26,3.6,2.13
2026-01-27,2.4,2.13
2026-01-28,3.7,2.19
2026-01-29,11.3,2.14
2026-01-30,31.5,2.15
2026-01-31,1.1,2.14
2026-02-01,32.2,2.14
2026-02-02,13.0,2.14
2026-02-03,13.9,2.14
2026-02-04,9.5,2.14
2026-02-05,7.5,2.14
2026-02-06,11.8,2.14
2026-02-07,23.1,2.2
2026-02-08,18.0,2.29
2026-02-09,19.3,2.14
2026-02-10,12.5,2.15
2026-02-11,6.9,2.15
2026-02-12,0.0,2.14
2026-02-13,0.0,2.14
2026-02-14,0.0,2.15
2026-02-15,0.0,2.14
2026-02-16,0.0,2.14
2026-02-17,18.9,2.14
2026-02-18,18.1,2.14
2026-02-19,5.4,2.15
2026-02-20,0.2,2.14
2026-02-21,1.9,2.14
2026-02-22,13.3,2.14
2026-02-23,9.9,2.19
2026-02-24,6.9,2.19
2026-02-25,18.5,2.14
2026-02-26,31.3,2.15
2026-02-27,1.3,2.15
2026-02-28,0.1,2.14
