data,precipitacao_mm,nivel_rio_m
2025-12-01,0.0,1.47
2025-12-02,28.1,1.47
2025-12-03,5.7,1.47
2025-12-04,2.1,1.54
2025-12-05,0.1,1.59
2025-12-06,0.0,1.59
2025-12-07,0.5,1.59
2025-12-08,0.6,1.59
2025-12-09,15.4,1.59
2025-12-10,0.7,1.58
2025-12-11,0.0,1.55
2025-12-12,0.1,1.53
2025-12-13,28.7,1.54
2025-12-14,13.4,1.54
2025-12-15,1.0,1.54
2025-12-16,7.4,1.47
2025-12-17,33.6,1.48
2025-12-18,0.0,1.47
2025-12-19,2.3,1.47
2025-12-20,0.4,1.47
2025-12-21,0.3,1.47
2025-12-22,0.0,1.47
2025-12-23,0.0,1.47
2025-12-24,0.1,1.47
2025-12-25,0.1,1.47
2025-12-26,2.1,1.47
2025-12-27,1.9,1.47
2025-12-28,0.1,1.47
2025-12-29,5.5,1.47
2025-12-30,7.0,1.47
2025-12-31,7.1,1.47
2026-01-01,2.8,1.47
2026-01-02,19.9,1.46
2026-01-03,5.9,1.49
2026-01-04,3.7,1.54
2026-01-05,0.9,1.53
2026-01-06,0.0,1.53
2026-01-07,1.8,1.53
2026-01-08,11.4,1.54
2026-01-09,0.0,1.54
2026-01-10,0.0,1.54
2026-01-11,0.0,1.54
2026-01-12,0.0,1.54
2026-01-13,17.4,1.54
2026-01-14,11.7,1.54
2026-01-15,6.3,1.54
2026-01-16,12.1,1.54
2026-01-17,8.8,1.55
2026-01-18,13.6,1.54
2026-01-19,41.7,1.53
2026-01-20,11.0,1.53
2026-01-21,2.8,1.53
2026-01-22,27.1,1.53
2026-01-23,13.4,1.53
2026-01-24,6.9,1.49
2026-01-25,23.3,1.47
2026-01-26,2.3,1.47
2026-01-27,3.1,1.47
2026-01-28,7.6,1.49
2026-01-29,15.1,1.47
2026-01-30,35.7,1.47
2026-01-31,0.7,1.47
2026-02-01,19.6,1.47
2026-02-02,8.2,1.47
2026-02-03,12.5,1.47
2026-02-04,7.0,1.47
2026-02-05,10.4,1.47
2026-02-06,15.5,1.47
2026-02-07,26.8,1.5
2026-02-08,18.5,1.54
2026-02-09,18.9,1.47
2026-02-10,11.3,1.47
2026-02-11,6.3,1.48
2026-02-12,1.5,1.47
2026-02-13,0.5,1.47
2026-02-14,0.0,1.47
2026-02-15,0.0,1.47
2026-02-16,0.0,1.47
2026-02-17,16.4,1.47
2026-02-18,20.4,1.47
2026-02-19,1.8,1.47
2026-02-20,0.4,1.47
2026-02-21,3.9,1.47
2026-02-22,10.9,1.47
2026-02-23,6.3,1.5
2026-02-24,7.8,1.5
2026-02-25,26.1,1.47
2026-02-26,33.3,1.47
2026-02-27,1.0,1.47
2026-02-28,0.2,1.47
