data,precipitacao_mm,nivel_rio_m
2025-12-01,0.0,1.38
2025-12-02,30.1,1.38
2025-12-03,4.2,1.38
2025-12-04,2.3,1.43
2025-12-05,0.0,1.48
2025-12-06,0.3,1.48
2025-12-07,2.2,1.48
2025-12-08,5.2,1.48
2025-12-09,18.5,1.48
2025-12-10,1.1,1.47
2025-12-11,0.0,1.44
2025-12-12,0.3,1.42
2025-12-13,26.7,1.43
2025-12-14,10.7,1.43
2025-12-15,0.8,1.43
2025-12-16,11.8,1.37
2025-12-17,27.1,1.38
2025-12-18,0.1,1.37
2025-12-19,1.0,1.37
2025-12-20,0.1,1.37
2025-12-21,0.2,1.37
2025-12-22,0.0,1.37
2025-12-23,0.0,1.37
2025-12-24,0.1,1.37
2025-12-25,0.6,1.37
2025-12-26,6.3,1.37
2025-12-27,0.2,1.37
2025-12-28,1.5,1.38
2025-12-29,8.0,1.38
2025-12-30,10.6,1.38
2025-12-31,15.2,1.37
2026-01-01,3.9,1.37
2026-01-02,14.2,1.37
2026-01-03,5.7,1.39
2026-01-04,2.3,1.43
2026-01-05,0.7,1.43
2026-01-06,0.3,1.43
2026-01-07,2.4,1.43
2026-01-08,4.5,1.43
2026-01-09,0.0,1.43
2026-01-10,0.0,1.43
2026-01-11,0.0,1.43
2026-01-12,0.0,1.43
2026-01-13,8.9,1.43
2026-01-14,14.9,1.43
2026-01-15,8.1,1.43
2026-01-16,18.0,1.43
2026-01-17,8.8,1.44
2026-01-18,18.0,1.43
2026-01-19,44.8,1.43
2026-01-20,7.6,1.43
2026-01-21,3.1,1.43
2026-01-22,21.1,1.43
2026-01-23,12.8,1.43
2026-01-24,6.2,1.39
2026-01-25,14.1,1.37
2026-01-26,1.0,1.37
2026-01-27,2.7,1.37
2026-01-28,8.0,1.39
2026-01-29,14.9,1.37
2026-01-30,35.0,1.38
2026-01-31,0.4,1.37
2026-02-01,5.7,1.37
2026-02-02,11.8,1.37
2026-02-03,23.2,1.37
2026-02-04,9.0,1.37
2026-02-05,7.2,1.38
2026-02-06,15.1,1.37
2026-02-07,26.6,1.4
2026-02-08,14.9,1.44
2026-02-09,14.9,1.38
2026-02-10,12.0,1.38
2026-02-11,6.2,1.38
2026-02-12,0.0,1.38
2026-02-13,6.4,1.38
2026-02-14,0.0,1.38
2026-02-15,0.0,1.38
2026-02-16,0.0,1.38
2026-02-17,12.2,1.38
2026-02-18,28.1,1.38
2026-02-19,1.7,1.38
2026-02-20,0.4,1.38
2026-02-21,3.6,1.38
2026-02-22,9.4,1.38
2026-02-23,9.9,1.4
2026-02-24,8.2,1.4
2026-02-25,23.7,1.38
2026-02-26,25.7,1.38
2026-02-27,1.1,1.38
2026-02-28,0.3,1.38
