data,precipitacao_mm,nivel_rio_m
2025-12-01,0.0,1.57
2025-12-02,24.7,1.56
2025-12-03,5.3,1.57
2025-12-04,2.0,1.65
2025-12-05,0.0,1.72
2025-12-06,0.0,1.71
2025-12-07,1.5,1.71
2025-12-08,6.9,1.71
2025-12-09,15.2,1.71
2025-12-10,1.3,1.7
2025-12-11,0.0,1.67
2025-12-12,0.4,1.63
2025-12-13,24.9,1.65
2025-12-14,8.4,1.65
2025-12-15,0.4,1.65
2025-12-16,16.1,1.56
2025-12-17,28.0,1.58
2025-12-18,0.1,1.56
2025-12-19,1.1,1.56
2025-12-20,0.0,1.56
2025-12-21,0.1,1.56
2025-12-22,0.0,1.56
2025-12-23,0.0,1.56
2025-12-24,0.1,1.56
2025-12-25,0.0,1.56
2025-12-26,4.4,1.56
2025-12-27,1.0,1.56
2025-12-28,0.3,1.56
2025-12-29,7.8,1.56
2025-12-30,13.1,1.56
2025-12-31,9.9,1.56
2026-01-01,1.7,1.56
2026-01-02,17.3,1.55
2026-01-03,8.0,1.59
2026-01-04,3.1,1.65
2026-01-05,0.5,1.64
2026-01-06,0.0,1.64
2026-01-07,3.1,1.64
2026-01-08,17.9,1.65
2026-01-09,0.0,1.65
2026-01-10,0.0,1.65
2026-01-11,0.0,1.65
2026-01-12,0.0,1.65
2026-01-13,16.6,1.65
2026-01-14,15.2,1.65
2026-01-15,12.8,1.65
2026-01-16,19.0,1.65
2026-01-17,10.0,1.66
2026-01-18,16.1,1.65
2026-01-19,41.1,1.64
2026-01-20,12.6,1.64
2026-01-21,4.1,1.64
2026-01-22,19.3,1.64
2026-01-23,6.8,1.64
2026-01-24,3.4,1.59
2026-01-25,13.7,1.56
2026-01-26,2.3,1.56
2026-01-27,1.4,1.56
2026-01-28,10.0,1.59
2026-01-29,13.1,1.56
2026-01-30,41.9,1.57
2026-01-31,0.4,1.56
2026-02-01,10.6,1.56
2026-02-02,9.9,1.56
2026-02-03,18.9,1.56
2026-02-04,12.4,1.56
2026-02-05,8.3,1.56
2026-02-06,8.5,1.56
2026-02-07,29.7,1.6
2026-02-08,16.5,1.66
2026-02-09,16.0,1.56
2026-02-10,12.3,1.57
2026-02-11,6.0,1.57
2026-02-12,0.5,1.56
2026-02-13,2.0,1.56
2026-02-14,0.0,1.57
2026-02-15,0.0,1.56
2026-02-16,0.0,1.56
2026-02-17,21.9,1.56
2026-02-18,20.5,1.56
2026-02-19,3.1,1.56
2026-02-20,0.1,1.56
2026-02-21,4.8,1.56
2026-02-22,13.6,1.56
2026-02-23,10.8,1.59
2026-02-24,8.6,1.59
2026-02-25,15.0,1.56
2026-02-26,21.9,1.57
2026-02-27,2.3,1.57
2026-02-28,0.0,1.56
